,% Inhibitor,% Promoter,% Neither,Total Sentences Found
pla2,0.5002324692904949,0.0009242296728189103,0.49884328176267445,2
t- pbs,0.8614122867584229,0.029483400285243988,0.10910432785749435,1
ires,0.09172607750366302,0.07205662968255745,0.8362172865088382,741
chpf,0.9982648491859436,0.0006257221684791148,0.0011094014625996351,1
rheb1,0.9990468621253967,0.0002633782278280705,0.0006897447165101767,1
bmps,0.09855836155475117,0.7575226270782878,0.1439189913986151,14
pi,0.15661005224931365,0.11993512094175623,0.7234548084617761,22
atl,0.7889223132642655,0.06754905499042252,0.1435286333737622,32
kpi,0.35325734480284154,0.39769586371257903,0.24904675977304577,5
scaffolds,0.14058089947870758,0.2641325265609339,0.5952865764072339,250
pl,0.24019679145321543,0.24135709345687614,0.5184461077524984,37
gba,0.9468894004821777,0.00027819426031783223,0.05283229053020477,1
g-csf,0.23228918877515858,0.35681164153742,0.41089917031657774,17
mcp1,0.5366349816322327,0.46309855580329895,0.0002664554340299219,1
dioa,0.2484693519695488,0.1784380546669618,0.5730925960474328,74
dhp,0.3757312495863516,0.00021441024273372022,0.6240543908716063,8
bio,0.12878546414811773,0.23444960921831529,0.6367649297104575,13
carp,0.0010226887312051582,0.11102397964067576,0.8879532995116379,9
p-s6,0.6345846517011523,0.21517896196940758,0.15023638685136878,15
pdgf-bb,0.08867228776216507,0.9099560976028442,0.001371577731333673,1
tnf alpha,0.012575303204357624,0.08435965329408646,0.903065025806427,1
mtorc1,0.4646172610380084,0.3445875032398776,0.19079523020627676,22
saps,0.22033564225582974,0.02616865093215084,0.7534956946619786,9
hdac,0.8977758291424834,0.09997667819625349,0.002247495586198056,20
mtor,0.46403879546079796,0.41644294967852546,0.11951825552275486,215
fig,0.23233973962071883,0.14325809984496565,0.6244021528857827,63
bhn,0.44071075320243835,0.0017340534832328558,0.5575552582740784,1
pkcα,0.05126696825027466,0.9463188052177429,0.0024141818284988403,2
ppp,0.3835071883108867,0.11588428117920557,0.5006085119566706,8
gga,0.3272613066206263,0.3708354127117094,0.30190330936404114,11
zfp191,0.9989450573921204,0.0005730850389227271,0.00048196877469308674,1
ecm,0.3362603829033105,0.3274696393705821,0.3362699795913948,380
tsa,0.5149809635449856,0.2300021039600324,0.25501693419028015,8
gfap –/–,0.9966349005699158,0.0031575632747262716,0.00020755018340423703,1
marcks,0.5452064003911801,0.33710504029877486,0.1176885465538362,10
npcs,0.9407747387886047,0.004410653331433423,0.05481457850934627,3
neo,0.08782845326186361,0.016048565674888476,0.8961229744333347,12
cntf,0.22242149904651087,0.6823071970955804,0.09527130869953503,278
bsa,0.3498562491040502,0.4907306175984559,0.1594131250172116,60
nim,0.99861741065979,0.0002602760505396873,0.0011223170440644026,1
mu,0.0366611234904849,0.08011679896226269,0.8832220687204972,25
cox-2,0.9931786855061849,0.006362851442342314,0.0004585157585097477,3
lrp1,0.998611569404602,0.0006053048418834805,0.0007830631220713258,1
fabp,0.3481568990770706,0.24061616883815543,0.41122693767254026,43
s1p,0.9994006156921387,0.000101857163826935,0.0004975703195668757,1
nf-kb,0.7610670782567468,0.1480758619143671,0.09085707138074213,40
biorp,0.920750766992569,0.0007797013386152685,0.0784695363836363,2
tgf/3,0.0008514141372870654,0.9956157505512238,0.0035328168887645006,2
mcp-1,0.4323482496937296,0.27548669633168693,0.29216506018981037,14
praptor,0.000392782072594855,0.9188940525054932,0.08071320827002637,2
lane 14,0.012601491063833237,0.0007843003841117024,0.9866142868995667,1
rna,0.5911816550876926,0.16170283485147774,0.2471155088805,262
ritc,0.3082156673322474,0.23866829698355022,0.4531160183409652,11
dmso,0.35540026601434377,0.3782506524343758,0.2663490852712791,44
syti,0.5681054635497276,0.09888348376262002,0.33301103151946637,3
npn-1,0.8994720307263461,0.025953427412208508,0.07457456201452507,11
nbt,0.4833335533476202,0.004009268130175769,0.5126572102308273,2
gdf11,0.5050661871209741,0.357956878375262,0.13697692909045145,2
crp-,0.49957337277010083,0.0003148046071146382,0.5001117965730373,2
nes,0.4213507182794274,0.007749084349468051,0.5709001646734707,7
hema,6.021239823894575e-05,5.998943743179552e-05,0.9998798370361328,1
et-1,0.6223464604083668,0.2055022585323861,0.17215128242883915,34
gfap+,0.10053080705780303,0.462062173872022,0.4374070258727297,125
omp,0.4986863103113137,0.4990989460857236,0.0022147205017972738,2
iap-1,0.9994069337844849,0.00013226030569057912,0.0004607898008543998,1
krx-20,0.9956319332122803,0.00014709994138684124,0.004220986273139715,1
trh,0.4723286551986045,0.19213282214089608,0.3355384950215618,3
np-2,0.6123015873134137,0.1805245232390007,0.20717392554506658,5
cspgs,0.6203347189111537,0.25211772501547547,0.12754755572201876,266
cs,0.23267435589169558,0.28628418044084497,0.4810414598139591,95
gefs,0.6163169890642166,0.277922254987061,0.10576072350765268,3
tlr-4,0.38190600043162704,0.5435385938268155,0.07455542239185889,10
mfps,0.00012391565542202443,0.00165667780674994,0.9982194304466248,1
t-akt,0.2875027060508728,0.7115135788917542,0.0009837017860263586,1
cgns,0.8339149057221795,0.05828921591110932,0.10779589639844887,19
ngr,0.9462306345181211,0.01601198591117459,0.03775738200415728,164
ptprs,0.9992828071117401,0.0005779405692010187,0.0001392649210174568,2
gpcrs,0.9838457107543945,0.0018315772758796811,0.014322693459689617,1
t-gsk,0.9995768666267395,0.00019170972518622875,0.00023146450985223055,1
cre+wt/wt,0.9214451313018799,0.07673683762550354,0.0018180269980803132,1
igfbp-6,0.02553449384868145,0.914373517036438,0.06009203940629959,1
ma,0.09246602679566521,0.12047548681916728,0.7870584727748988,148
vcam-1,0.41979011913229314,0.29220742356431273,0.2880024488684804,7
dlg,0.30482170670002234,0.28627007424947803,0.40890821465291083,10
dex,0.0002784183743642643,0.0011870108734001405,0.9985345721244812,5
tnf,0.5564869449008256,0.1836425714019632,0.2598704880942283,28
gags,0.591676851976954,0.17215007976366906,0.2361730709974654,25
npf,0.03568408515722975,0.36781181187996903,0.5965040965249779,26
am-6,0.0013205042341724038,0.993636965751648,0.005042583215981722,1
yfp,0.3471835193554095,0.20131376829279665,0.45150273471081165,30
cret,0.45078847838158254,0.507080700393999,0.042130851255327194,6
aqp4,0.6742248418075698,0.014777810356463306,0.31099734731417683,7
nc,0.4458887845783985,0.15484010512513383,0.39927113020010957,14
ncam,0.6220101368394858,0.26488774837061,0.11310211604904907,72
vpa,0.8356212615966797,0.11401874333241721,0.05035997446830152,10
dbcamp,0.0005409967513211692,0.9976745148499807,0.0017845094043877907,6
hsp90,0.46526367581100203,0.34960001353465486,0.18513631368114147,8
parp,0.2962937572396186,0.20455594523227774,0.49915028454270216,5
fbs,0.004024967783253588,0.6090686048765848,0.3869064181223318,18
pla,0.14469922017402,0.4730655797390103,0.38223519849403104,22
mais,0.0006815430813313455,0.015884442740660563,0.983434014033801,61
c-myc,0.48349574188672245,0.30793507678096094,0.20856918482154252,63
clf/clc,0.5100446455180645,0.046052319929003716,0.4439030379871838,2
ascl1,0.779130748929814,0.08149436094726507,0.1393748668689603,13
xcrmp-2,0.48808356188237667,0.026081065647304058,0.4858354391762987,2
ln,0.04593170379557705,0.2111172291399271,0.7429510468966327,10
tax1bp1,0.33509087639201124,0.3317005276233734,0.33320857885216054,3
myti,0.009693500456705806,0.0009864340827334672,0.9893200695514679,2
ang2,0.5110021819257073,0.31589162958779426,0.17310618956172322,9
mscs,0.26265639289319626,0.3755571637497421,0.3617864439452205,192
nrp-1,0.7206312780068921,0.06206262065596613,0.2173061050994355,35
pnpfs,0.0001339917944278568,0.0008350818534381688,0.9990309476852417,1
mmp-2,0.349309163086582,0.4498149844119325,0.20087586672743782,10
mosp,0.016929380606716296,0.05279792925837801,0.9302726788706586,123
emap ii,0.5041243117302656,0.047495937935309485,0.44837969058426097,2
shsocs3,0.5660356420266908,0.33113146040614083,0.10283288964546955,16
cscl,0.31116549114813097,0.02522765565663576,0.6636067926883698,2
baab,0.00014691833348479122,0.0004829134268220514,0.9993701577186584,1
psa-ncam,0.42547786425248807,0.08298530552102337,0.4915368165159386,11
gsk3beta,0.34825310288579203,0.3796994528711366,0.2720474648522213,4
dha,0.2574114608869422,0.5019486348610371,0.24063991656294093,4
pdi,0.5645842030644417,0.36987436945491936,0.0655413978965953,2
abl,0.9996204574902853,0.00016343463842834657,0.00021604019517932707,3
nrdg1,0.9906765222549438,0.0002836234634742141,0.009039836935698986,1
art,0.0002771941081493646,0.002125952888101373,0.9975968465513113,49
pjun,0.21183807691947246,0.7725694278875986,0.015592501576369008,3
tgf-(3,0.49706940966279944,0.005019507138058543,0.4979110664644395,2
